id,label,texts
3144,1,"Ah, so I have been told ;)"
2086,0,just honest
2826,0,i'm trying to get into med school
2993,1,The rhythm of your heart is music to my ears.
2016,0,"hi, not bad, how about yours?"
533,1,I’ll put you on my shoulders and be your stilts 👀
3311,1,It’s laundry day for me tho lol
1531,1,🍫🍫🍫
2221,1,hey that's a cool doge 🐶
1975,0,"nup, it's wordplay"
990,1,Halle how is your life going rn -10 to 10 hit me w it
758,1,"Save a horse, ride a cowboy (me)"
3268,1,Cartoon Network? How so? Lol!
1729,0,wax?
858,1,Ah my ideal first date would go something likeee
1583,0,oh wow nice
1466,0,path major
3116,1,And feather-lick my asshole. I love that.
3413,1,Ugh such a tease
1366,0,Like a 3.50 bag of chips at easy side is 1.19 at Aldi
559,0,It’s going well how are you Shelby* (noticed it wasn’t Erin lol)
445,1,Perfect imma have the best wedding dance
717,1,You caught my attention
1865,0,where are you studying that?
2893,1,do you feel like getting dinner tonight
1037,0,Also I just saw your 5th photo for the first time and it made me laugh really hard
3025,1, I'm cumming!
1785,0,well it was only wednesday night
3316,1,Me: Don’t worry you’ll like it
2931,1, your passion for life is so infectious its so inspiring 
3057,1,"Now, I need you to take your right hand and start playing with yourself."
1357,0,I feel that I was making some cool shit at the beginning of the year
1147,1,God is always watching
2953,1,"I wish you were here to help me clean up, or distract me with a sweet kiss."
3346,1,I want to make you scream while I suck on your breasts
1585,0,"yeah, at melbourne"
3323,1,"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)"
2053,1,greetings 😸
3033,1,You tell me!
2333,1,🍦🍦🍦
602,0,Okay Frank is my #1 haha everything is the best
3435,1,Ok
353,0,See I figure when you give me a piggy back ride we’ll be roughly 7’ tall
1190,0,As a beverage isnt coffee inherently inedible
3402,1,Maybe a little longer
3466,1,What does your neck taste like?
1746,0,"haha, it's been good, heading to royal croquet later"
2850,0,well he took a bad selfie that didn't get his ears in the shot...
237,1,😴 Was the last time with Shaosong
3107,1,Shut up I’m tickling my ass with the fat head. heheh
2261,0,"no, my mom is not a fan of the soviets, i'd love to go but $$$"
326,0,Good conversation
2529,0,"""violent masturbator"" is probably not going to convince anyone to swipe right"
3253,1,Well*
3431,1,Haha just wait until I have you bent over and I reach around to rub your clit
3521,1,Wrist bond to the couch as I'm bent over the arm. Ass up for you.
1334,0,No one has attempted to steal my spaghetti for fear of instant and fatal retribution
3505,1,and slowly close in on your sexy clit
2544,0,i don't think they allow that...are you going thru the black market? i hear hearts in demand
3467,1,"Hmm I'm not sure, I guess you'll have to tell me"
1507,0,welcome to NY
1089,0,Not too bad. Whats your secret to staying above 0 in these trying times
434,0,Add me bb
2311,0,all that sugar and taurine
3069,1,"Lick your finger, how is it?"
2887,1,are you interested in going out sometime
1115,0,"Are you named after the water bottle brand, or is it named after you???"
2752,1,lazaretto is a masterpiece
2434,0,i'm 3rd year this year and sitting the gamsat again
113,1,Aw thank you ❤️❤️ I love your wings
1221,0,Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it
885,1,Perfect I can reach the high shelves and you can get the low ones
2151,0,is that the lane off degraves?
407,1,If you ride my shoulders we can beat 7’ 😂
2794,0,haha yep it's pretty good normally
2987,1,I'd much rather spend my time getting dirty with you.
2061,0,"yeah it was alright, had some strange conversations with these guys outside the window..."
3189,1,I want to kiss you first and feel your tounge on mine.
3099,1,OMG I can’t believe I’m doing this. It’s HUGE!
209,1,Wanna come over tonight?
3094,1,I am serious about the fucking.
1899,0,dude you have a picture of your face plastered on a cat's
2970,1, I wish I could dance with you at the concert and feel the music together    
1801,0,hiking? as in going off into the bush and wandering about
3447,1,"I will figure out what makes you tick, don't worry."
1846,0,what kind of dog?
261,0,Peach is 🔥 also u reminded me I was going to plan Soju pong
3324,1,You like em?
3181,1,It's a beautiful sight..
3040,1,How will you know?
642,1,Brienna you made my heart skip a beat so u better pay my medical bills
680,1,Like damn u gifted
1815,0,if you're in pain
1702,0,📰<💻
2935,1,your empathy is a rare gift its so comforting 
128,0,I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha
2298,0,trollzz
1124,0,I have been told I would line parks and rec but am scared that the same thing is going to happen to me
3109,1,You are funny. Keep going.
3460,1,"Then come over and fuck me right now ""daddy"""
2917,1, your charisma is intoxicating im under your spell 
483,0,We were right everytime 😤
773,0,Wbu?
1761,0,"awwww, puppy raiser!"
3184,1,"I push your tender meat out of my mouth, and lay down..."
2988,1,I'd love to hold hands and stroll through the park with you.
2231,1,🎸🎤
115,0,Need to see if ur on aux 👀
1317,1,What do I have to put on my application for trivia partner
2483,0,oh wow
2941,1,I would love to have dinner with you tonight and explore some new and exciting flavors together.
1664,1,highly philosophical question - miley or taylor swift
3541,1,Or I could just be wearing a pearl thong and princess plug.
3142,1,Oh You have no idea ;)
1505,0,best song on 1989?
1139,0,Fuck yeah US of A baby. More prisoners than China
1685,0,i am! i've made it a NY resolution to go on it more often
3481,1,Mmmm.... I feel all flush and tingly
649,0,Also fuck yes Bernie and ACAB ofc
3193,1,"Your starting to buck up off the bed, Your Pussy is on fire so I gave to go down on you baby.."
422,1,I didn’t hear a noooo
3318,1,Oh really? Tell me more…
889,0,Fuck you know what I mightttt be able to squeeze in 2032
1671,1,are you into any other music? 🎵
1803,0,ah nice
3166,1,I know ;) Then I start feeling you up..
2667,1,i'm just playing haha
1302,0,Sounds like a golden retriever
1355,0,My dad made my mom canned soup on their first date
2733,1,omg yes they lay eggs
173,1,I have a feeling there are other things we have in common too
3538,1,No
3281,1,Send me a pic tho.. Show me whacha workin with
108,0,Anaaaaa what’s good
3108,1,All slippery with lube. Been so long. Pucker! Whoo!
1315,0,What do boston people do this time of year I didnt grow up here
3485,1,Are you at work
3342,1,Well babe I'm here and ready and willing for you to have your way with me
3002,1,I'm hoping you can teach me some moves and sweep me off my feet.
2914,1, your imagination knows no bounds its absolutely captivating 
1336,0,Chivalry is not dead no matter what anyone says
3395,1,Do you like eye contact when I'm sucking you off?
3456,1,I'm going to tease you by fucking you with just the tip so you are begging me to go deeper and when you think you cant take it anymore ill grab your hair and pound you from behind and spank your ass because your such a dirty girl.
1777,0,the theme song for VCESS is blank space
1741,0,it's a prove-yourself thing
3029,1,Hey baby you are hot!!!!!!
3430,1,You're very tall lol
2603,0,"i'm not moving anywhere when i graduate, i'm going to enslave myself in another 4 years of uni"
3302,1,K
1701,0,how do you feel about the decline of print media
2540,1,where can i get some opium
3093,1,"I’m glad you wanna eat my ass too, it’s been awhile."
2495,0,which bands did u like?
3152,1,"Yup I guess... So there goes the top, off of me.. ;)"
851,0,DAMN that’s a good way to keep busy!
2197,0,"that's an excellent story, poor Jake. and bloody possums"
3341,1,Miss seeing you look back while pounding you balls deep bent over the bed
73,0,See you soon
3163,1,Oh.
1561,0,haha
1053,0,Hahaha this is over the course of like a year
2910,1, im blown away by your incredible skills its so attractive 
62,1,No winter relationship but we can be 10/10 buddies
263,1,Have I ever had... tiddy milk?
2040,1,"nice, i like to overthink things too"
479,0,I started as insomniac and ended as insomniac
1379,0,I grabbed a couple like regular books but didnt see anything valuable
2648,0,thanks i'll speak to henry later
810,0,No snap
507,1,Like let’s practice making a baby
1845,0,terrified of skateboarders in the park too
3012,1,"Please I will, I just need you to fuck me"
706,0,Did u find ur ex
711,0,I was gonna say that’s quite the fire hazard
678,0,None I’m a clean slate. One day tho
3198,1,Like how you're gonna tear my pussy just with your tongue..
2985,1,I want to find something that excites me as much as you do.
184,0,How would u best describe your personality
1508,0,i don't really like swift but i listened to it a bit during swotvac
3470,1,That sounds sexy
1565,0,some friends of mine went up there for choir and went ballistic with the candy
3307,1,Yeah I may have to have you ride my face too.
1836,0,yeah was pretty funny
3278,1,But nice pic. Color run? I almost went (I figured I’d try to be normal too LOL)
3344,1,I want you on your hands and knees while you suck me looking up at me
2721,0,disembowlment
2871,0,"raw deal, in french class"
2664,0,you're being pretty bloody obvious
3502,1,so hot
1703,1,i still like newspapers as weird as that sounds
2500,0,👍 good choices
3003,1,I'd rather get my heart rate up with you.
3356,1,And have the hot water drip down my back as you grip every part of me tighter and closer
985,0,"I stay away from gluten, all animal products except ground beef"
323,0,I was talking to my roommates lmao my b
3243,1,Oh do u live in L.V?
635,1,Bet we’ll have to practice a few times first tho
797,1,"The stilts are an incredible party trick, really ups my game"
2426,0,i want to go to med school 💉💊
3205,1,My cock is going to explode if I don't get inside you.!!Please baby girl.. I want you!!
2325,0,lol probably it's overdiagnosed
19,1,Food ✅ call her pretty ✅ seems reasonable
872,0,"It’s been okay, I work from home most of the day and then hangout with my roommates. Kind of stuck in a routine but happy I get to see some of my friends haha. U?"
260,0,"Grape, watermelon, peach, fruit punch, and green apple are all 14 as well"
537,0,Perfect I’ll add you I don’t check too often either haha
1070,0,What sort of art do you do?
2737,1,"binging on tv series, messing around on my uke and such"
3496,1,I can feel your kisses
1683,1,"nice, you must exercise a lot then?"
3300,1,What? Lol
2203,1,"hi, i'm alright, how are you?"
2315,0,does it come from cat pee?
167,1,You can be the port to my land 😝😢
2286,0,red bull?
3254,1,Ok gorgeous. What part of cali are you in?
3419,1,Just remember you don't get to cum until I say you can
2160,1,i think i know someone who went to cae
3267,1,Hey punkin. Think I saw you on cartoon network?
3215,1,Well I'm close so I speed up... Faster and faster...
2006,0,well do it with pills or something
3208,1,I want to squeeze your dick inside my kitty..
3310,1,No lol that was yesterday at some Girls house
895,0,My most recently used is some dry emojis way too many faces lol. I try to limit em
1722,0,what are you doing down here in melbourne?
1973,1,cool doge
3258,1,She sounds like she makes beer
2342,0,i thought bands were supposed to be not about one person? *cough*
2292,0,next time you go to the supermarket
3041,1,Tell me where your hands are.
267,0,No promises it’s my legacy
350,1,Oh I thought we’re having a competition to see who wouldn’t send the first message
2022,0,haha as long as the dj is not an idiot it should be okay
3549,1,"Oh yes, I won't stop"
739,0,My rhymes: the sickest      My ass: the thiccest
906,0,I haven’t done hard alc since being in quarantine tho :(
2176,0,a scaredy cat?
914,0,I’ll pay for the lokos and you got the skee ball
2929,1,your unwavering support means everything to me its so heartwarming 
2535,0,and we were in year 9
1107,0,Okay maybe we cant date but you CAN educate me
2188,0,um i'm going to a bar to watch my best friend get really really drunk
1864,0,favourite band?
625,1,Y u so cute
1694,0,why do you have a photo of geoff shaw?
648,0,Highkey that last meme is SO me could u tell me where to get it
644,0,The most cultured
37,1,U absolutely right Lindsey
3197,1,Your Pussy is so great..
3115,1,I wish I was there to finger your clit and drip warmed lube on your dildo.
1241,0,Youd have to ask him
865,0,Hmm I suppose I can trust a lawyer
3440,1,Good girl
2789,1,apparently everyone in the tinderverse likes sport...
2017,0,how was falls? i went to a george ezra sideshow the other day which was wicked 🎸
1640,0,what's exercise sport science?
45,1,You tryna link
1666,0,but miley's actually cool now
